Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,ClientNum,Predictions - Churn or Not,Predictions- Probability to Churn,Predictions - Churn or Not Desc,Actual_Result
59,F,0,Post-Graduate,Single,Less than $40K,Blue,48,4,2,2,3030.0,1251,1779.0,0.694,4724,71,0.775,0.413,711694083,1,99.90661910600936,Attrition,Attrition
60,F,1,Graduate,Single,Unknown,Blue,55,3,3,3,13397.0,0,13397.0,0.814,5049,75,0.63,0.0,806428908,1,99.27129382409967,Attrition,Attrition
58,F,0,Graduate,Married,Less than $40K,Blue,47,5,3,2,2232.0,786,1446.0,0.435,1395,39,0.345,0.352,720371733,1,99.53392662061232,Attrition,Attrition
46,M,3,Uneducated,Married,$40K - $60K,Blue,36,4,2,4,4707.0,1121,3586.0,0.604,3188,71,0.651,0.238,716077458,1,99.9063908248605,Attrition,Attrition
52,F,3,Uneducated,Single,Less than $40K,Blue,36,2,1,3,3240.0,0,3240.0,0.812,4803,83,0.804,0.0,719845908,1,99.73654695077,Attrition,Attrition
39,M,2,Graduate,Single,$40K - $60K,Blue,26,6,3,2,6423.0,0,6423.0,1.051,4295,70,0.795,0.0,708219858,1,99.31935615605124,Attrition,Attrition
49,F,5,College,Single,Unknown,Blue,41,6,3,2,16031.0,2245,13786.0,0.635,1527,57,0.462,0.14,712420833,1,99.75856599863545,Attrition,Attrition
53,F,2,Graduate,Married,Less than $40K,Silver,45,1,2,1,12100.0,1350,10750.0,0.854,13138,115,0.667,0.112,714593883,1,99.93514125619672,Attrition,Attrition
56,M,2,Unknown,Married,$60K - $80K,Blue,41,3,2,2,5887.0,659,5228.0,0.65,1193,26,0.3,0.112,780078333,1,96.62605466886366,Attrition,Attrition
39,M,3,Graduate,Single,$60K - $80K,Blue,29,4,2,3,6733.0,1028,5705.0,0.553,4444,72,0.565,0.153,716353083,1,99.91599568115312,Attrition,Attrition
51,M,2,Uneducated,Single,$60K - $80K,Blue,40,4,2,2,21800.0,893,20907.0,0.445,3820,62,0.676,0.041,708337683,1,99.1474772626993,Attrition,Attrition
56,F,2,High School,Single,Less than $40K,Blue,42,5,4,2,2423.0,268,2155.0,0.804,2516,59,0.639,0.111,719098308,0,37.05512192775807,Existing,Existing
45,F,4,Doctorate,Married,Less than $40K,Blue,27,3,2,2,1438.3,0,1438.3,0.68,2429,38,0.652,0.0,718890933,0,1.0619207698122362,Existing,Existing
27,F,1,Post-Graduate,Married,Less than $40K,Blue,13,3,2,2,1438.3,990,448.3,0.715,3855,73,1.147,0.688,770878458,1,99.96825382900991,Attrition,Attrition
43,F,3,Doctorate,Divorced,Unknown,Blue,33,6,3,2,5738.0,0,5738.0,0.852,4375,73,0.622,0.0,780203883,1,99.75177420262455,Attrition,Attrition
54,M,1,High School,Single,$80K - $120K,Blue,36,1,2,3,12813.0,1998,10815.0,0.837,7803,81,0.688,0.156,716745408,1,98.13244561938673,Attrition,Attrition
42,M,2,College,Married,$60K - $80K,Blue,28,6,1,3,7340.0,0,7340.0,0.65,838,24,0.412,0.0,770724558,0,7.760647679747946,Existing,Existing
43,F,2,Graduate,Married,Unknown,Blue,25,4,2,4,21961.0,0,21961.0,0.653,2237,39,0.393,0.0,779269158,0,1.3022224541156262,Existing,Existing
53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475,33,0.833,0.073,718888308,1,99.05908835859313,Attrition,Attrition
32,M,1,Graduate,Single,Unknown,Blue,26,6,3,4,18889.0,1880,17009.0,0.702,2979,55,0.774,0.1,714350658,1,99.55787406002075,Attrition,Attrition
56,F,1,High School,Single,Less than $40K,Blue,43,3,2,2,2923.0,1934,989.0,0.577,3861,68,0.7,0.662,710748483,1,99.9176697968993,Attrition,Attrition
54,M,3,Post-Graduate,Single,$40K - $60K,Blue,44,2,5,3,4216.0,1290,2926.0,0.86,13787,121,0.571,0.306,772339383,1,99.78535207531262,Attrition,Attrition
58,M,4,Graduate,Married,$60K - $80K,Blue,36,3,2,2,14607.0,1480,13127.0,0.346,1393,38,0.462,0.101,712973733,1,98.22109268817456,Attrition,Attrition
39,M,4,High School,Married,$60K - $80K,Blue,32,4,2,2,19198.0,2218,16980.0,0.802,4423,90,0.667,0.116,754851783,1,99.96017044316562,Attrition,Attrition
41,F,2,Graduate,Single,Less than $40K,Blue,29,4,2,3,2670.0,2079,591.0,0.649,3895,59,0.788,0.779,715312158,1,99.32139377751913,Attrition,Attrition
51,F,3,Graduate,Single,Less than $40K,Blue,36,1,3,1,3276.0,1474,1802.0,0.759,14212,116,0.681,0.45,714690633,1,99.96979594708084,Attrition,Attrition
55,F,2,College,Married,Less than $40K,Blue,45,5,2,4,1850.0,942,908.0,0.757,4134,78,0.625,0.509,717740658,1,99.9573423976575,Attrition,Attrition
56,F,3,College,Single,Less than $40K,Blue,46,1,3,3,2272.0,1350,922.0,0.762,2354,49,0.96,0.594,717666783,1,62.714340197404795,Attrition,Existing
34,F,3,College,Married,Less than $40K,Blue,23,3,3,3,2164.0,1176,988.0,0.835,5075,71,0.868,0.543,787514433,1,99.91576135011636,Attrition,Attrition
49,M,0,Unknown,Married,$60K - $80K,Blue,39,6,2,4,10177.0,1748,8429.0,0.622,3557,64,0.939,0.172,779995833,1,99.90882290951268,Attrition,Attrition
44,M,3,Unknown,Married,$40K - $60K,Blue,36,1,1,1,12967.0,2517,10450.0,0.787,4520,74,0.762,0.194,717742908,1,99.91218640708598,Attrition,Attrition
38,F,4,Graduate,Married,Less than $40K,Blue,30,3,1,2,5951.0,1702,4249.0,1.264,2565,53,0.71,0.286,718227033,1,99.73901202393473,Attrition,Attrition
49,F,0,Graduate,Single,Less than $40K,Blue,39,4,3,0,2434.0,0,2434.0,0.788,4628,73,0.622,0.0,714647808,1,99.91668469167537,Attrition,Attrition
36,M,0,High School,Married,$120K +,Blue,24,3,3,2,10097.0,2139,7958.0,1.408,3092,67,0.763,0.212,718474683,1,99.93819701288005,Attrition,Attrition
62,M,1,Unknown,Single,Unknown,Blue,36,5,1,1,18457.0,2248,16209.0,0.578,3603,69,0.643,0.122,709246683,1,99.9181216082504,Attrition,Attrition
35,F,2,High School,Married,Unknown,Blue,36,3,2,4,4319.0,1151,3168.0,0.594,1852,47,0.424,0.266,715394883,1,95.62785133245856,Attrition,Attrition
45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,772629333,1,98.64450700740093,Attrition,Attrition
51,M,2,Graduate,Single,$40K - $60K,Blue,41,1,3,3,3062.0,2058,1004.0,0.622,7289,75,0.705,0.672,721063533,1,98.84355443080547,Attrition,Attrition
47,M,2,Graduate,Single,$120K +,Blue,41,3,2,4,10614.0,784,9830.0,0.73,4601,77,0.638,0.074,793543758,1,99.895866016935,Attrition,Attrition
49,F,4,Doctorate,Single,$40K - $60K,Blue,39,5,3,1,3255.0,603,2652.0,0.617,4045,62,0.824,0.185,708997833,1,99.57420951216339,Attrition,Attrition
49,M,3,High School,Married,$80K - $120K,Blue,39,3,3,2,29659.0,1143,28516.0,0.512,1193,21,0.615,0.039,718349058,1,99.19474719972442,Attrition,Attrition
46,M,4,Unknown,Divorced,$60K - $80K,Blue,32,5,3,3,1438.3,738,700.3,0.709,4368,87,0.74,0.513,717849708,1,99.9498702214687,Attrition,Attrition
36,F,3,Unknown,Single,Less than $40K,Blue,36,4,3,0,1558.0,261,1297.0,0.775,2424,40,0.6,0.168,721426383,0,3.5474818213361745,Existing,Existing
38,F,2,Uneducated,Single,Less than $40K,Blue,32,5,3,3,2264.0,0,2264.0,0.479,1204,28,0.333,0.0,713217858,1,71.10823251998536,Attrition,Attrition
42,F,3,Uneducated,Married,Less than $40K,Blue,36,6,2,2,5821.0,0,5821.0,0.859,4591,70,1.188,0.0,711634008,1,99.769047622848,Attrition,Attrition
48,F,5,Graduate,Single,Unknown,Blue,35,5,2,3,1942.0,1488,454.0,0.816,4940,88,0.796,0.766,718194858,1,99.94192704434764,Attrition,Attrition
40,F,2,Post-Graduate,Married,Less than $40K,Silver,30,4,2,2,10836.0,1932,8904.0,0.563,1293,31,0.824,0.178,780025908,1,99.86473252948161,Attrition,Attrition
45,M,2,Unknown,Single,$60K - $80K,Silver,26,6,3,2,32349.0,1630,30719.0,0.646,1343,41,0.519,0.05,713571258,1,99.80771589963986,Attrition,Attrition
51,M,0,College,Married,$120K +,Silver,35,5,1,2,34516.0,2332,32184.0,0.8,4587,82,0.745,0.068,779885358,1,99.94583270423263,Attrition,Attrition
50,M,3,Uneducated,Married,Less than $40K,Blue,36,2,3,3,5128.0,0,5128.0,0.704,7588,98,0.581,0.0,711963183,1,99.39400066861293,Attrition,Attrition
44,M,4,Uneducated,Married,$40K - $60K,Blue,33,5,4,3,1527.0,0,1527.0,0.531,1877,38,0.462,0.0,771776808,0,3.347878638476979,Existing,Existing
46,F,4,Post-Graduate,Married,Less than $40K,Blue,37,5,3,2,3773.0,1972,1801.0,0.783,1528,25,1.083,0.523,719451483,1,99.93583419674633,Attrition,Attrition
38,M,4,College,Married,$80K - $120K,Blue,27,5,2,4,10386.0,1909,8477.0,1.43,2119,52,1.08,0.184,789235383,1,99.98097024861065,Attrition,Attrition
42,M,3,Uneducated,Married,$40K - $60K,Blue,37,2,3,3,4960.0,1724,3236.0,0.879,8218,88,0.913,0.348,819160158,1,81.25707936614309,Attrition,Attrition
40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3,2,6990.0,1378,5612.0,0.73,1479,29,0.611,0.197,779656908,1,99.81517899038225,Attrition,Attrition
37,F,2,Unknown,Married,$40K - $60K,Blue,36,4,2,2,2208.0,1559,649.0,0.51,4686,81,0.761,0.706,708745983,1,99.93557739296226,Attrition,Attrition
53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,712991808,1,99.6781066462535,Attrition,Attrition
55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,715318008,1,99.1843976133177,Attrition,Attrition
47,F,3,Graduate,Single,Less than $40K,Blue,36,5,3,4,7246.0,0,7246.0,0.612,777,13,0.625,0.0,711357858,0,1.8845521564198189,Existing,Existing
63,M,1,Unknown,Single,$60K - $80K,Silver,53,5,4,4,25502.0,1450,24052.0,0.797,4323,81,0.688,0.057,778242708,1,99.8317533558961,Attrition,Attrition
48,F,4,Graduate,Single,Less than $40K,Blue,41,3,3,2,1522.0,1273,249.0,0.735,5005,77,0.674,0.836,755437533,1,99.94767329435159,Attrition,Attrition
57,M,2,Uneducated,Single,$80K - $120K,Blue,51,6,2,4,30622.0,0,30622.0,1.329,3600,66,0.784,0.0,796170933,1,99.7611952965371,Attrition,Attrition
56,M,3,High School,Divorced,$80K - $120K,Blue,52,2,3,1,8111.0,2051,6060.0,0.999,3719,69,0.643,0.253,827442858,1,98.0681260605629,Attrition,Attrition
38,M,1,Graduate,Single,$80K - $120K,Blue,27,6,2,5,26372.0,1365,25007.0,1.394,2291,56,1.0,0.052,787523283,1,99.9708376636945,Attrition,Attrition
44,F,4,Uneducated,Married,Less than $40K,Blue,33,5,4,2,9671.0,704,8967.0,0.699,2955,66,0.941,0.073,771816408,1,99.8452429043789,Attrition,Attrition
46,F,3,Doctorate,Single,Less than $40K,Blue,36,5,1,4,2201.0,651,1550.0,0.825,3165,65,0.585,0.296,772794108,1,99.84469810100354,Attrition,Attrition
64,M,1,Graduate,Single,Less than $40K,Blue,45,5,3,2,4417.0,0,4417.0,0.904,4253,72,0.895,0.0,716853258,1,99.73615087804055,Attrition,Attrition
26,M,0,College,Single,$40K - $60K,Blue,13,5,2,2,2047.0,1196,851.0,0.623,2180,33,0.941,0.584,789701658,1,99.7079174098822,Attrition,Attrition
26,M,1,Unknown,Single,Less than $40K,Blue,13,6,2,3,2479.0,828,1651.0,0.44,2225,44,0.294,0.334,712452033,1,93.94628395172401,Attrition,Attrition
50,M,3,High School,Single,$80K - $120K,Silver,41,2,2,1,34516.0,0,34516.0,0.627,15059,118,0.735,0.0,778745058,1,99.74607630957048,Attrition,Attrition
48,F,5,High School,Single,Less than $40K,Blue,40,1,4,3,8297.0,2517,5780.0,0.899,9819,74,0.682,0.303,711156858,0,34.78667024239999,Existing,Existing
46,F,4,Doctorate,Divorced,Less than $40K,Blue,41,4,1,1,8693.0,1378,7315.0,0.799,1594,45,0.452,0.159,808964433,1,99.8660630072382,Attrition,Attrition
44,M,4,Uneducated,Married,$60K - $80K,Silver,37,1,2,2,29076.0,0,29076.0,0.77,8765,84,1.211,0.0,714757083,1,50.97469340342058,Attrition,Existing
50,M,0,High School,Married,$80K - $120K,Blue,30,3,4,2,4252.0,0,4252.0,0.478,1598,45,0.324,0.0,778399008,0,36.55075495727898,Existing,Attrition
50,F,3,Graduate,Unknown,Less than $40K,Blue,43,2,3,3,4249.0,789,3460.0,0.925,8186,93,0.722,0.186,758382183,1,99.14449922296077,Attrition,Attrition
38,F,3,Uneducated,Married,$40K - $60K,Blue,36,5,5,3,5293.0,1030,4263.0,0.863,4377,62,0.879,0.195,721122258,1,99.21846308467475,Attrition,Attrition
55,M,3,High School,Single,$120K +,Blue,51,3,1,3,34516.0,1266,33250.0,0.846,1161,26,0.368,0.037,827108583,1,98.77359881702954,Attrition,Attrition
61,F,0,Uneducated,Single,$40K - $60K,Blue,55,6,1,2,2214.0,2123,91.0,0.64,4478,77,0.791,0.959,794784633,1,99.96008459438856,Attrition,Attrition
44,F,2,Graduate,Married,Less than $40K,Blue,30,3,2,3,9598.0,1092,8506.0,0.6,2216,54,0.588,0.114,710592933,1,80.9822212103974,Attrition,Attrition
59,M,0,Uneducated,Unknown,$60K - $80K,Blue,48,2,6,2,13172.0,0,13172.0,0.876,2598,47,0.621,0.0,780008358,0,0.9766175490297853,Existing,Existing
47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,715623483,1,99.99566273953194,Attrition,Attrition
51,M,3,Uneducated,Single,$60K - $80K,Blue,42,2,4,1,1922.0,1124,798.0,0.766,8049,76,0.434,0.585,711210633,1,99.67569403696076,Attrition,Attrition
34,F,4,Graduate,Single,$40K - $60K,Blue,28,5,2,3,2472.0,1899,573.0,0.77,4408,86,0.792,0.768,783070833,1,99.94820955367909,Attrition,Attrition
62,M,1,Graduate,Single,$120K +,Blue,53,4,3,4,34516.0,2061,32455.0,0.564,3820,76,0.767,0.06,713977308,1,99.89096129373411,Attrition,Attrition
38,F,2,Uneducated,Married,Less than $40K,Blue,36,2,3,2,7825.0,0,7825.0,0.724,14326,100,0.786,0.0,720621408,1,99.75599849725903,Attrition,Attrition
45,F,4,Graduate,Married,Unknown,Blue,35,6,3,0,2801.0,2043,758.0,0.583,1241,46,0.643,0.729,778239933,1,99.9592131873654,Attrition,Attrition
37,M,3,Uneducated,Unknown,$80K - $120K,Blue,36,4,2,3,9782.0,1793,7989.0,0.886,3672,75,0.923,0.183,712271958,1,99.92370830222342,Attrition,Attrition
46,F,3,High School,Married,$40K - $60K,Blue,34,2,3,2,3336.0,1687,1649.0,0.645,5577,95,0.759,0.506,720260433,1,99.9466254992482,Attrition,Attrition
42,F,5,College,Single,Less than $40K,Blue,28,4,3,2,3044.0,1865,1179.0,0.852,4854,85,1.024,0.613,770753733,1,99.91696863584315,Attrition,Attrition
58,M,0,Uneducated,Married,$80K - $120K,Blue,38,6,3,3,3785.0,1935,1850.0,1.558,1824,49,1.45,0.511,778623858,1,99.98679151411962,Attrition,Attrition
45,M,2,Uneducated,Married,$120K +,Blue,36,6,2,3,3383.0,1458,1925.0,0.678,4897,75,0.562,0.431,713401758,1,99.86810762028374,Attrition,Attrition
33,F,2,Doctorate,Single,Unknown,Blue,21,4,3,4,5297.0,0,5297.0,0.779,2655,62,0.55,0.0,789050883,1,87.05012502444018,Attrition,Attrition
36,F,3,Post-Graduate,Single,Less than $40K,Blue,23,6,2,1,2410.0,1705,705.0,0.798,2505,69,0.568,0.707,771190083,1,99.59451166491249,Attrition,Attrition
30,M,0,Graduate,Divorced,$80K - $120K,Blue,23,6,1,2,26783.0,1285,25498.0,0.59,2495,46,0.769,0.048,781089708,1,98.93434116303789,Attrition,Attrition
35,M,3,Graduate,Married,$80K - $120K,Blue,20,5,3,4,8082.0,2307,5775.0,0.637,1725,29,1.071,0.285,817142433,1,99.6464709711786,Attrition,Attrition
42,F,3,Graduate,Single,Unknown,Blue,34,3,3,3,16612.0,2517,14095.0,0.602,4697,94,0.808,0.152,712018233,1,99.85293315929376,Attrition,Attrition
47,F,3,Uneducated,Single,Less than $40K,Blue,36,5,2,1,2723.0,1588,1135.0,0.852,4307,83,0.844,0.583,708784083,1,99.92325627347617,Attrition,Attrition
33,F,3,College,Single,$40K - $60K,Blue,26,6,3,5,6316.0,1344,4972.0,0.823,2401,71,0.732,0.213,766322883,1,99.85655809438602,Attrition,Attrition
44,M,5,Unknown,Single,$80K - $120K,Blue,34,6,2,3,8206.0,763,7443.0,0.87,1715,43,0.72,0.093,712216533,1,99.35233211791414,Attrition,Attrition
42,F,2,Graduate,Married,Less than $40K,Blue,37,4,2,1,2250.0,1788,462.0,0.523,4908,71,1.152,0.795,811762383,1,99.95344503267202,Attrition,Attrition
55,M,3,Graduate,Married,$40K - $60K,Blue,36,3,3,3,2205.0,1337,868.0,0.65,1591,38,0.727,0.606,718011783,1,99.79770112304742,Attrition,Attrition
45,M,2,College,Unknown,$40K - $60K,Blue,36,1,1,1,4718.0,1591,3127.0,0.927,4598,80,1.0,0.337,714032883,1,99.94546559381165,Attrition,Attrition
